zzlvo,3r2k1/pp4pp/2p2p2/3q4/4QP2/1P4P1/P6P/4R2K b - - 1 26,d8e8 e4d5 c6d5 e1e8,701,90,70,74,crushing discoveredAttack endgame short,https://lichess.org/ZqkTVC4I/black#52,
zzlwg,rnbqk2r/pppp1ppp/4pn2/6B1/1bPP4/2N5/PP2PPPP/R2QKBNR b KQkq - 3 4,f6e4 g5d8 e4c3 d1b3 c3a2 e1d1,2013,264,-100,4,crushing defensiveMove long opening,https://lichess.org/zULAVAo6/black#8,Nimzo-Indian_Defense,Nimzo-Indian_Defense_Leningrad_Variation
zzlx4,7k/1pq3p1/p5B1/7P/8/8/P4P2/3R2K1 b - - 3 45,h8g8 d1e1 c7c8 e1e8 c8e8 g6e8,1428,144,20,15,crushing endgame fork long quietMove,https://lichess.org/mGRacQbi/black#90,
zzm1p,5r1k/p5pp/1pp1Q3/3p4/5q2/2P5/PP2R1PP/5NK1 w - - 1 25,e2e1 f4f2 g1h1 f2f1 e1f1 f8f1,1316,78,65,100,backRankMate deflection endgame long mate mateIn3,https://lichess.org/Hwqgqq8a#49,
zzm4n,2r3k1/2r2pp1/p2p1n1p/3Pp3/2P5/1qR1BP2/1P1Q2PP/2R3K1 b - - 2 24,b3a2 c3a3 a2a3 b2a3,1430,74,93,855,crushing middlegame short trappedPiece,https://lichess.org/GC4O1fB2/black#48,
zzm6T,8/6k1/2p3p1/2P1p1K1/4P3/4P3/8/8 w - - 1 36,g5g4 g7h6 g4h4 g6g5 h4g4 h6g6,2059,76,98,94,crushing defensiveMove endgame long pawnEndgame zugzwang,https://lichess.org/NJszZ16A#71,
zzm6W,5rQk/pp2q2n/3b1n2/8/4p2P/1BPP4/PP3PR1/6RK b - - 1 36,f6g8 g2g8 f8g8 g1g8,1183,297,100,10,mate mateIn2 middlegame short,https://lichess.org/SCKbNj2g/black#72,
zzm9N,1k3r2/ppp3p1/8/P6p/7b/1Q2B2P/1P2KP2/3N3q b - - 6 27,h1h3 e3a7 b8a7 b3h3,1166,78,96,12229,advantage discoveredAttack endgame short,https://lichess.org/3OufSoT0/black#54,
zzm9X,8/p1pb1qk1/1p1p2pr/3Pn2P/4PNn1/6Q1/PPP2RP1/4R1K1 w - - 1 25,f4g6 f7f2 g3f2 g4f2,1764,74,95,4208,advantage kingsideAttack middlegame short,https://lichess.org/I7lNw8rJ#49,
zzmCM,8/P1R5/1K5p/7k/8/1P4p1/8/r7 b - - 1 50,g3g2 c7g7 g2g1r g7g1 a1g1 a7a8q,1916,75,93,534,advancedPawn crushing endgame long promotion rookEndgame,https://lichess.org/srkv16AK/black#100,
zzmON,r1b1k1nr/pp3ppp/2nb1q2/2p5/5B1N/2NP2P1/PPP1Q2P/R3KB1R b KQkq - 2 10,g8e7 c3e4 f6b2 e4d6,2363,79,80,83,crushing opening short,https://lichess.org/r8UZKaXX/black#20,Sicilian_Defense,Sicilian_Defense_McDonnell_Attack
zzmWu,8/8/2Rbkq2/5p2/2p5/p3NQ1P/5PP1/6K1 w - - 2 52,e3c4 f6a1 f3d1 a1d1,1101,125,60,14,endgame mate mateIn2 short,https://lichess.org/GZGRvyB8#103,
